date,disk_usage_percent,disk_total_gb,disk_free_gb
2025-11-25 17:05:10,90.5,936.79,84.58
2025-11-25 17:05:42,90.5,936.79,84.58
2025-11-25 17:06:09,90.5,936.79,84.57
