date,bytes_sent,bytes_recv,packets_sent,packets_recv
2025-11-25 17:05:10,727932553,1545218412,1501937,1592879
2025-11-25 17:05:42,733017506,1545388145,1508375,1594310
2025-11-25 17:06:09,734147480,1545506811,1510784,1595361
